Index,AAPL.Open,AAPL.High,AAPL.Low,AAPL.Close,AAPL.Volume,AAPL.Adjusted
2003-05-27,0.320714,0.3375,0.319821,0.337143,290130400,0.288687
2003-05-28,0.330357,0.333214,0.324107,0.326429,339679200,0.279513
2003-05-29,0.326607,0.330357,0.319643,0.323214,333765600,0.27676
2003-05-30,0.323571,0.324643,0.313036,0.320536,382748800,0.274467
2003-06-02,0.323214,0.326607,0.308393,0.311607,418588800,0.266821
2003-06-03,0.311429,0.315536,0.303929,0.309107,360858400,0.26468
2003-06-04,0.308929,0.317679,0.306071,0.314286,271202400,0.269115
2003-06-05,0.311607,0.316786,0.309464,0.315,205497600,0.269726
2003-06-06,0.316786,0.322143,0.306071,0.30625,241388000,0.262234
2003-06-09,0.3025,0.304286,0.296964,0.299821,259952000,0.256729
2003-06-10,0.301607,0.30875,0.299107,0.306786,176646400,0.262693
2003-06-11,0.30625,0.312679,0.300179,0.311607,225114400,0.266821
2003-06-12,0.313393,0.319286,0.311607,0.317321,252588000,0.271714
2003-06-13,0.316964,0.320536,0.305893,0.311071,191245600,0.266362
2003-06-16,0.314286,0.32625,0.311607,0.32625,238526400,0.27936
2003-06-17,0.32875,0.330357,0.32125,0.324821,177464000,0.278136
2003-06-18,0.329464,0.347857,0.326964,0.341429,454983200,0.292357
2003-06-19,0.345714,0.350179,0.335179,0.341786,381528000,0.292662
2003-06-20,0.345536,0.349643,0.3375,0.342857,356546400,0.29358
2003-06-23,0.344643,0.351607,0.334821,0.340357,307361600,0.291439
2003-06-24,0.347679,0.35125,0.334286,0.335357,514382400,0.287158
2003-06-25,0.336786,0.346429,0.334107,0.340893,329812000,0.291898
2003-06-26,0.333929,0.345,0.333929,0.344464,161705600,0.294956
2003-06-27,0.344643,0.344821,0.33,0.334464,365792000,0.286393
2003-06-30,0.333571,0.343036,0.331964,0.340357,222152000,0.291439
2003-07-01,0.336964,0.3425,0.330536,0.340893,180992000,0.291898
2003-07-02,0.339821,0.346429,0.339643,0.344107,325298400,0.29465
2003-07-03,0.339286,0.349107,0.338929,0.341607,137771200,0.292509
2003-07-07,0.344107,0.360357,0.341607,0.354821,286272000,0.303824
2003-07-08,0.348571,0.366071,0.348036,0.364286,256737600,0.311929
2003-07-09,0.360893,0.365179,0.355179,0.355179,213645600,0.304131
2003-07-10,0.355,0.356071,0.345893,0.349643,170934400,0.29939
2003-07-11,0.351071,0.357143,0.34875,0.354464,136858400,0.303518
2003-07-14,0.357321,0.364286,0.354821,0.355357,188406400,0.304283
2003-07-15,0.3575,0.361429,0.346964,0.350179,206645600,0.299849
2003-07-16,0.356607,0.357143,0.346071,0.354821,250930400,0.303824
2003-07-17,0.360536,0.374107,0.359464,0.373214,751212000,0.319574
2003-07-18,0.373214,0.378214,0.364286,0.3725,298838400,0.318962
2003-07-21,0.369464,0.371429,0.3625,0.368036,183808800,0.31514
2003-07-22,0.372679,0.374286,0.366071,0.371429,198424800,0.318045
2003-07-23,0.374107,0.374286,0.365357,0.37125,143035200,0.317892
2003-07-24,0.375714,0.383929,0.363929,0.36625,229236000,0.31361
2003-07-25,0.364464,0.385179,0.364286,0.384643,216686400,0.32936
2003-07-28,0.383929,0.383929,0.3725,0.374821,170357600,0.32095
2003-07-29,0.374821,0.376429,0.366429,0.37,197120000,0.316821
2003-07-30,0.370893,0.373214,0.360179,0.362143,173594400,0.310094
2003-07-31,0.370357,0.38125,0.367321,0.376429,301464800,0.322326
